Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Explicit Track,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Dreaming,Dreaming,Marshmello,2023-10-20,USRC12302211,"1,716",False,0.25501770956316405,-0.36696616475203353,-0.3065611948341898,-0.13725623922084398,0.0,-0.38815909311292096,-0.423178930084651,-0.4586433873004864,-0.4542185135910173,-0.48628413542598264,-0.40318035674364217,0.0,3.5618159935063116,-0.1724137931034483,0.6956521739130435,11.779909637161897,1.0555555555555556,-0.22996570891321305,-0.35994924222472285,0.0,0.09651488930915222
Own Brand Freestyle,Own Brand Freestyle,FelixThe1st,2021-10-07,QZK6J2144340,"1,718",True,0.25501770956316405,-0.24048647484689115,0.09742671824778182,-0.29013524303626015,-1.6666666666666667,-0.3092544787480015,-0.25105340630619283,9.209715996398655,20.22074595805434,20.38682220933246,-0.05087032505557949,-0.20833333333333334,-0.14809527808100317,0.0,-0.43478260869565216,-0.4346661240385069,-0.7777777777777778,-0.2000461490416028,-0.18464337874398448,0.0,0.7346120615348728
Pussy & Millions (feat. Travis Scott),Her Loss,Drake,2022-11-04,USUG12208607,"1,712",True,0.25501770956316405,0.062380458324141186,0.7510056392786343,0.335627695572906,0.0,-0.359859472308805,-0.35691428854558704,-0.43230902849580216,-0.3307176989298134,-0.3698742069669362,-0.4588835543098279,-0.2708333333333333,-0.16586895065356733,0.0,-0.17391304347826086,-0.0728583144819291,-0.6666666666666666,0.06258846551181929,-0.23310268872554887,0.0,-0.2429602339606079
Sent Gamkauwa,Sent Gamkauwa,Shivani Singh,2023-05-19,ING642303429,"1,717",False,0.25501770956316405,-0.39059103050611016,-0.40835049496057635,-0.5314658413284686,-0.5555555555555556,0.4564306412746005,0.029002651494037406,-0.4627206698756391,-0.45798540088296746,-0.49479663659269746,0.39988549688929337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43023972572957947
Bulletproof,Bulletproof,Nate Smith,2024-02-09,USRN12300134,"1,710",False,0.25501770956316405,-0.3842324251578258,-0.368189079431068,0.04509256821395736,0.0,-0.3862861043740894,-0.422213092586208,0.0,0.0,0.0,0.463818010192153,-0.16666666666666666,1.3712878215355333,-1.2413793103448276,-0.30434782608695654,2.567028953564786,0.3333333333333333,0.12778156599794332,-0.3410347882299423,0.0,-0.3466183494564058
I Hope,I Hope,Gabby Barrett,2019-01-25,TCAEB1919657,"1,714",False,0.25501770956316405,0.29685638882740994,0.2326154319918394,0.01004662262539887,-0.1111111111111111,0.32858610299263924,0.1882519476747987,-0.1976794866492538,-0.24014628858207118,-0.29168736195177636,1.0940337003455147,0.5833333333333334,14.275142049430404,3.0344827586206895,-0.43478260869565216,-0.4483963955892718,1.2222222222222223,6.772281610119031,5.640050757775277,3704078.0,1.6352345616742692
"...And to Those I Love, Thanks for Sticking Around",STOP STARING AT THE SHADOWS,$uicideboy$,2020-02-14,QZAPK1900020,"1,709",True,0.25501770956316405,0.8078716971486068,1.7375265443860628,0.07943228630759158,0.6666666666666666,0.3235923599538555,0.6999827270956815,0.6298714396154323,0.4558079047586035,0.09751939626827041,-0.44161552951768607,-0.2916666666666667,-0.16637277129341954,0.0,-0.43478260869565216,-0.4092852319520937,0.0,-0.022517482113206404,1.1149950918189,0.0,1.1976966113668557
Bite Me,DARK BLOOD,ENHYPEN,2023-05-22,USA2P2319853,"1,713",False,0.25501770956316405,0.04454953291176164,-0.18804011009103683,-0.2412096992220962,0.6666666666666666,0.0357352603883174,0.6459753100692774,-0.15765492623923494,1.326917616203752,0.4056956782052373,-0.11585694095911941,-0.20833333333333334,-0.10426288241386067,-2.0,-0.5217391304347826,-0.3559520002821158,-0.3333333333333333,-0.26716400778980165,-0.3054085761486341,-1820909.0,-0.21483902419560694
Promises (with Sam Smith),Promises (with Sam Smith),Calvin Harris,2018-08-17,GBARL1801049,"1,711",False,0.25501770956316405,1.4779951880659843,1.1954500837230786,1.0716958004108705,0.2222222222222222,1.3581727447041103,0.754008036373571,-0.42018407581913103,-0.39221890734206144,-0.4446511792073679,2.2985965849538843,3.2916666666666665,3.8998796428471465,-0.3793103448275862,13.782608695652174,3.5720284079184954,0.5,0.8118112140031615,0.15217755644408265,0.0,5.353858257807852
Cover Me In Sunshine,Cover Me In Sunshine,P!nk,2021-02-12,USRC12100138,"1,715",False,0.25501770956316405,0.36972240348298446,0.7420623464274946,0.29733324275459233,-0.3333333333333333,-0.08774322788787857,-0.015160930479656854,0.2221253662587051,0.08835415569615428,0.05630737432460888,-0.2350990031586041,2.125,7.220869370504101,0.6551724137931034,2.0869565217391304,1.9287133374538763,1.2777777777777777,0.6853992339341032,0.9825460291617785,0.0,1.4035227093104925
